[14:07:53.026] ================ START SliceEq SELF-TRAINING ================
[14:07:53.026] Namespace(root_path='/home/aiteam/zhengtaoma/Baseline/data/PROMISE12_h5_training_source', exp='SliceEq_PROMISE12', model='unet', max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, num_classes=2, labeled_bs=12, labelnum=7, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, pretrained_checkpoint='/home/aiteam/zhengtaoma/UniMatch_35_5_10_Pre10000_Self30000_label7_seed1337_7_labeled/pre_train/unet/unet_best_model.pth', sliceeq_radius=1, sliceeq_sigma_min=0.45, sliceeq_sigma_max=0.85, sliceeq_phase_min=-0.25, sliceeq_phase_max=0.25)
[14:07:53.303] Loaded shared pretrain checkpoint: /home/aiteam/zhengtaoma/UniMatch_35_5_10_Pre10000_Self30000_label7_seed1337_7_labeled/pre_train/unet/unet_best_model.pth
[14:07:53.304] Shared pretrain SHA-256: 49e8883039a5712102dc17c5277009504b55c232a10a0af1de4d26fbb414b9b9
[14:07:53.306] 15 iterations per epoch
[14:07:53.306] SliceEq profile: offsets=(-1,0,1), sigma=[0.450, 0.850], phase=[-0.250, 0.250]
[15:24:47.799] save model to ../model/SliceEq_PROMISE12_7_labeled/self_train/unet/iter_27000.pth
[15:25:16.631] iteration 27200 : mean_dice : 0.798677, best_dice : 0.811287
[15:25:45.079] iteration 27400 : mean_dice : 0.805620, best_dice : 0.811287
[15:26:13.294] iteration 27600 : mean_dice : 0.804070, best_dice : 0.811287
[15:26:41.985] iteration 27800 : mean_dice : 0.792884, best_dice : 0.811287
[15:27:10.651] iteration 28000 : mean_dice : 0.809029, best_dice : 0.811287
[15:27:38.594] iteration 28200 : mean_dice : 0.793621, best_dice : 0.811287
[15:28:07.394] iteration 28400 : mean_dice : 0.798688, best_dice : 0.811287
[15:28:35.454] iteration 28600 : mean_dice : 0.775020, best_dice : 0.811287
[15:29:04.149] iteration 28800 : mean_dice : 0.808908, best_dice : 0.811287
[15:29:33.046] iteration 29000 : mean_dice : 0.804111, best_dice : 0.811287
[15:30:01.041] iteration 29200 : mean_dice : 0.803810, best_dice : 0.811287
[15:30:29.387] iteration 29400 : mean_dice : 0.782278, best_dice : 0.811287
[15:30:57.955] iteration 29600 : mean_dice : 0.790011, best_dice : 0.811287
[15:31:26.280] iteration 29800 : mean_dice : 0.794553, best_dice : 0.811287
[15:31:54.400] iteration 30000 : mean_dice : 0.788273, best_dice : 0.811287
[15:31:54.408] save model to ../model/SliceEq_PROMISE12_7_labeled/self_train/unet/iter_30000.pth
